game_id,subject_id,session_id,study_name,grade,DOB,age,sex,DOT,score,Item1_Acc,Item2_Acc,Item3_Acc,Item4_Acc,Item5_Acc,Item6_Acc,Item7_Acc,Item8_Acc,Item9_Acc,Item10_Acc,Item11_Acc,Item12_Acc,Item13_Acc,Item14_Acc,Item15_Acc,Item16_Acc,Item17_Acc,Item18_Acc,Item19_Acc,Item20_Acc,Item21_Acc,Item22_Acc,Item23_Acc,Item24_Acc,Item25_Acc,Item26_Acc,Item27_Acc,Item28_Acc,Item29_Acc,Item30_Acc,Item31_Acc,Item32_Acc,Item33_Acc,Item34_Acc,Item35_Acc,Item36_Acc,Item37_Acc,Item38_Acc,Item39_Acc,Item40_Acc,Item41_Acc,Item42_Acc,Item43_Acc,Item44_Acc,Item45_Acc,Item46_Acc,Item47_Acc,Item48_Acc,Item49_Acc
265,isia,.,"EF Children's Book",.,.,.,.,"2014-10-31 10:26:19",37,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
264,dud,.,"EF Children's Book",.,.,.,.,"2014-10-27 14:15:17",37,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
263,999,.,"EF Children's Book",.,.,.,.,"2014-10-26 13:45:10",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
